DateTime,CLOSE,VOLUME,PE,PB,total_balance,000188_Close,000188_Close_share,000188_Close_money,000188_Close_hold,VOLUME_share,VOLUME_money,VOLUME_hold,total_balance_share,total_balance_money,total_balance_hold,PE_share,PE_money,PE_hold,PB_share,PB_money,PB_hold
2006-01-04,941.428,2112689900.0,14.691,1.846399764606616,,,,,,,,,,,,,,,,,
2006-01-05,959.134,2731174300.0,14.9349,1.872366290903185,,,,,,,,,,,,,,,,,
2006-01-06,970.032,3028636800.0,15.0558,1.8855184875353401,,,,,,,,,,,,,,,,,
2006-01-09,975.253,2432955200.0,15.1007,1.885857753161268,,,,,,,,,,,,,,,,,
2006-01-10,978.154,2273530200.0,15.1654,1.89393071995748,,,,,,,,,,,,,,,,,
2006-01-11,973.477,2652413800.0,15.0205,1.869875668875934,,,,,,,,,,,,,,,,,
2006-01-12,983.716,2189668000.0,15.1799,1.8898767261156644,,,,,,,,,,,,,,,,,
2006-01-13,978.809,2228186100.0,15.069,1.872989644864782,,,,,,,,,,,,,,,,,
2006-01-16,961.439,2030521500.0,14.8492,1.8505174077148423,,,,,,,,,,,,,,,,,
2006-01-17,964.29,1603727600.0,14.9509,1.8662747228651824,,,,,,,,,,,,,,,,,
2006-01-18,983.622,2082351800.0,15.2471,1.9046496890847944,,,,,,,,,,,,,,,,,
2006-01-19,991.222,2645560900.0,15.4435,1.938983006384061,,,,,,,,,,,,,,,,,
2006-01-20,993.34,2614706200.0,15.4906,1.9449997773818082,,,,,,,,,,,,,,,,,
2006-01-23,996.162,2254601900.0,15.4618,1.937524435202559,,,,,,,,,,,,,,,,,
2006-01-24,999.093,2419799100.0,15.4419,1.930575156835524,,,,,,,,,,,,,,,,,
2006-01-25,1009.597,2180075800.0,15.5641,1.949381897479148,,,,,,,,,,,,,,,,,
2006-02-06,1033.234,2503877100.0,15.9446,1.9979916977019816,,,,,,,,,,,,,,,,,
2006-02-07,1029.937,3295478700.0,15.8703,1.9848368690767155,,,,,,,,,,,,,,,,,
2006-02-08,1033.072,2698672900.0,15.9519,1.993401194733248,,,,,,,,,,,,,,,,,
2006-02-09,1019.599,2383960100.0,15.6956,1.9614837136537608,,,,,,,,,,,,,,,,,
2006-02-10,1032.337,2202445300.0,15.8968,1.9883323597127711,,,,,,,,,,,,,,,,,
2006-02-13,1031.614,2215729800.0,15.8553,1.9829156924087152,,,,,,,,,,,,,,,,,
2006-02-14,1038.531,1855622000.0,15.9222,1.9947929438236582,,,,,,,,,,,,,,,,,
2006-02-15,1041.66,2478462800.0,16.1205,2.0355952101392445,,,,,,,,,,,,,,,,,
2006-02-16,1020.121,2615989200.0,15.7904,1.9973625052197612,,,,,,,,,,,,,,,,,
2006-02-17,1020.368,2102687500.0,15.7863,1.9917893954897807,,,,,,,,,,,,,,,,,
2006-02-20,1021.639,1881888300.0,15.8179,1.9934328520651172,,,,,,,,,,,,,,,,,
